AAV.100176_9/ORF/62-1996/1935/+_10001	NC_001401.2	AS:i:-12
AAV.100176_9/ORF/62-1996/1935/+_10018	NC_002077.1	AS:i:-104
AAV.100176_9/ORF/62-1996/1935/+_10018	ENA|AF513851|AF513851.1	AS:i:-104
AAV.100176_9/ORF/62-1996/1935/+_10019	ENA|AAN03857|AAN03857.1	AS:i:-38
AAV.100176_9/ORF/62-1996/1935/+_10019	AY242997.1	AS:i:-56
AAV.100176_9/ORF/62-1996/1935/+_10019	ENA|AAT46337|AAT46337.1	AS:i:-62
AAV.100176_9/ORF/62-1996/1935/+_10019	NC_001401.2	AS:i:-63
AAV.100176_9/ORF/62-1996/1935/+_10019	AY243015.1	AS:i:-74
AAV.100176_9/ORF/62-1996/1935/+_10019	ENA|AF028704|AF028704.1	AS:i:-110
AAV.100176_9/ORF/62-1996/1935/+_10019	NC_002077.1	AS:i:-110
AAV.100176_9/ORF/62-1996/1935/+_10019	EU285562.1	AS:i:-111
AAV.100176_9/ORF/62-1996/1935/+_10019	ENA|U48704|U48704.1	AS:i:-111
AAV.100176_9/ORF/62-1996/1935/+_10019	ENA|AAS99264|AAS99264.1	AS:i:-116
AAV.100176_9/ORF/62-1996/1935/+_10019	ENA|AF513851|AF513851.1	AS:i:-117
AAV.100176_9/ORF/62-1996/1935/+_10020	ENA|AAN03857|AAN03857.1	AS:i:-28
AAV.100176_9/ORF/62-1996/1935/+_10020	ENA|AAT46337|AAT46337.1	AS:i:-46
AAV.100176_9/ORF/62-1996/1935/+_10020	AY243015.1	AS:i:-58
AAV.100176_9/ORF/62-1996/1935/+_10020	AY242997.1	AS:i:-64
AAV.100176_9/ORF/62-1996/1935/+_10020	ENA|AF513851|AF513851.1	AS:i:-111
AAV.100176_9/ORF/62-1996/1935/+_10020	NC_001401.2	AS:i:-113
AAV.100176_9/ORF/62-1996/1935/+_10021	ENA|AAN03857|AAN03857.1	AS:i:-22
AAV.100176_9/ORF/62-1996/1935/+_10021	ENA|AAT46337|AAT46337.1	AS:i:-46
AAV.100176_9/ORF/62-1996/1935/+_10021	AY243015.1	AS:i:-52
AAV.100176_9/ORF/62-1996/1935/+_10021	AY242997.1	AS:i:-64
AAV.100176_9/ORF/62-1996/1935/+_10021	ENA|AF513851|AF513851.1	AS:i:-99
AAV.100176_9/ORF/62-1996/1935/+_10021	ENA|AAS99264|AAS99264.1	AS:i:-106
AAV.100176_9/ORF/62-1996/1935/+_10022	ENA|AAN03857|AAN03857.1	AS:i:-14
AAV.100176_9/ORF/62-1996/1935/+_10022	ENA|AAT46337|AAT46337.1	AS:i:-26
AAV.100176_9/ORF/62-1996/1935/+_10022	AY243015.1	AS:i:-32
AAV.100176_9/ORF/62-1996/1935/+_10022	AY242997.1	AS:i:-68
AAV.100176_9/ORF/62-1996/1935/+_10022	ENA|AF513851|AF513851.1	AS:i:-79
AAV.100176_9/ORF/62-1996/1935/+_10022	ENA|AAS99264|AAS99264.1	AS:i:-92
AAV.100176_9/ORF/62-1996/1935/+_10022	NC_002077.1	AS:i:-117
AAV.100176_9/ORF/62-1996/1935/+_10022	ENA|AF028704|AF028704.1	AS:i:-117
AAV.100176_9/ORF/62-1996/1935/+_10023	ENA|AAN03857|AAN03857.1	AS:i:-14
AAV.100176_9/ORF/62-1996/1935/+_10023	ENA|AAT46337|AAT46337.1	AS:i:-26
AAV.100176_9/ORF/62-1996/1935/+_10023	AY243015.1	AS:i:-32
AAV.100176_9/ORF/62-1996/1935/+_10023	ENA|AAS99264|AAS99264.1	AS:i:-74
AAV.100176_9/ORF/62-1996/1935/+_10023	AY242997.1	AS:i:-74
AAV.100176_9/ORF/62-1996/1935/+_10023	ENA|AF513851|AF513851.1	AS:i:-79
AAV.100176_9/ORF/62-1996/1935/+_10023	ENA|U48704|U48704.1	AS:i:-119
AAV.100176_9/ORF/62-1996/1935/+_10024	ENA|AAN03857|AAN03857.1	AS:i:-44
AAV.100176_9/ORF/62-1996/1935/+_10024	AY243015.1	AS:i:-62
AAV.100176_9/ORF/62-1996/1935/+_10024	ENA|AAT46337|AAT46337.1	AS:i:-66
AAV.100176_9/ORF/62-1996/1935/+_10024	ENA|AF513851|AF513851.1	AS:i:-73
AAV.100176_9/ORF/62-1996/1935/+_10024	AY242997.1	AS:i:-114
AAV.100176_9/ORF/62-1996/1935/+_10025	ENA|AAN03857|AAN03857.1	AS:i:-44
AAV.100176_9/ORF/62-1996/1935/+_10025	AY243015.1	AS:i:-62
AAV.100176_9/ORF/62-1996/1935/+_10025	ENA|AAT46337|AAT46337.1	AS:i:-66
AAV.100176_9/ORF/62-1996/1935/+_10025	ENA|AF513851|AF513851.1	AS:i:-73
AAV.100176_9/ORF/62-1996/1935/+_10026	ENA|AF513851|AF513851.1	AS:i:-6
AAV.100176_9/ORF/62-1996/1935/+_10026	AY243015.1	AS:i:-90
AAV.100176_9/ORF/62-1996/1935/+_10026	ENA|AAN03857|AAN03857.1	AS:i:-90
AAV.100176_9/ORF/62-1996/1935/+_10026	ENA|AF028704|AF028704.1	AS:i:-96
AAV.100176_9/ORF/62-1996/1935/+_10026	ENA|AAT46337|AAT46337.1	AS:i:-100
AAV.100176_9/ORF/62-1996/1935/+_10027	ENA|AF513851|AF513851.1	AS:i:-26
AAV.100176_9/ORF/62-1996/1935/+_10027	AY243015.1	AS:i:-116
AAV.100176_9/ORF/62-1996/1935/+_10028	ENA|AF513851|AF513851.1	AS:i:-38
AAV.100176_9/ORF/62-1996/1935/+_10028	ENA|AF028704|AF028704.1	AS:i:-74
AAV.100176_9/ORF/62-1996/1935/+_10028	NC_002077.1	AS:i:-98
AAV.100176_9/ORF/62-1996/1935/+_10029	ENA|AF513851|AF513851.1	AS:i:-44
AAV.100176_9/ORF/62-1996/1935/+_10029	ENA|AF028704|AF028704.1	AS:i:-68
AAV.100176_9/ORF/62-1996/1935/+_10029	NC_002077.1	AS:i:-92
AAV.100176_9/ORF/62-1996/1935/+_10030	ENA|AF513851|AF513851.1	AS:i:-56
AAV.100176_9/ORF/62-1996/1935/+_10030	ENA|AF028704|AF028704.1	AS:i:-62
AAV.100176_9/ORF/62-1996/1935/+_10030	NC_002077.1	AS:i:-86
AAV.100176_9/ORF/62-1996/1935/+_10031	ENA|AF028704|AF028704.1	AS:i:-26
AAV.100176_9/ORF/62-1996/1935/+_10031	NC_002077.1	AS:i:-56
AAV.100176_9/ORF/62-1996/1935/+_10031	ENA|AF513851|AF513851.1	AS:i:-68
AAV.100176_9/ORF/62-1996/1935/+_10032	ENA|AF028704|AF028704.1	AS:i:-14
AAV.100176_9/ORF/62-1996/1935/+_10032	NC_002077.1	AS:i:-62
AAV.100176_9/ORF/62-1996/1935/+_10032	ENA|AF513851|AF513851.1	AS:i:-104
AAV.100176_9/ORF/62-1996/1935/+_10049	EU285562.1	AS:i:0
AAV.100176_9/ORF/62-1996/1935/+_10050	EU285562.1	AS:i:0
AAV.100176_9/ORF/62-1996/1935/+_10051	EU285562.1	AS:i:0
AAV.100176_9/ORF/62-1996/1935/+_10052	EU285562.1	AS:i:0
AAV.100176_9/ORF/62-1996/1935/+_10053	EU285562.1	AS:i:0
AAV.100176_9/ORF/62-1996/1935/+_10054	EU285562.1	AS:i:0
AAV.100176_9/ORF/62-1996/1935/+_10055	EU285562.1	AS:i:0
AAV.100176_9/ORF/62-1996/1935/+_10056	EU285562.1	AS:i:0
AAV.100176_9/ORF/62-1996/1935/+_10057	EU285562.1	AS:i:-8
AAV.100176_9/ORF/62-1996/1935/+_10058	EU285562.1	AS:i:-8
AAV.100176_9/ORF/62-1996/1935/+_10059	EU285562.1	AS:i:-8
AAV.100176_9/ORF/62-1996/1935/+_10060	EU285562.1	AS:i:-8
AAV.100176_9/ORF/62-1996/1935/+_10061	EU285562.1	AS:i:-8
AAV.100176_9/ORF/62-1996/1935/+_10062	EU285562.1	AS:i:-8
AAV.100176_9/ORF/62-1996/1935/+_10063	EU285562.1	AS:i:-8
AAV.100176_9/ORF/62-1996/1935/+_10064	EU285562.1	AS:i:0
AAV.100176_9/ORF/62-1996/1935/+_10033	ENA|AF028704|AF028704.1	AS:i:0
AAV.100176_9/ORF/62-1996/1935/+_10033	NC_002077.1	AS:i:-54
AAV.100176_9/ORF/62-1996/1935/+_10034	ENA|AF028704|AF028704.1	AS:i:0
AAV.100176_9/ORF/62-1996/1935/+_10034	NC_002077.1	AS:i:-60
AAV.100176_9/ORF/62-1996/1935/+_10035	ENA|AF028704|AF028704.1	AS:i:0
AAV.100176_9/ORF/62-1996/1935/+_10035	NC_002077.1	AS:i:-60
AAV.100176_9/ORF/62-1996/1935/+_10035	ENA|AF513851|AF513851.1	AS:i:-120
AAV.100176_9/ORF/62-1996/1935/+_10036	ENA|AF028704|AF028704.1	AS:i:0
AAV.100176_9/ORF/62-1996/1935/+_10036	NC_002077.1	AS:i:-60
AAV.100176_9/ORF/62-1996/1935/+_10037	ENA|AF028704|AF028704.1	AS:i:0
AAV.100176_9/ORF/62-1996/1935/+_10037	NC_002077.1	AS:i:-60
AAV.100176_9/ORF/62-1996/1935/+_10038	ENA|AF028704|AF028704.1	AS:i:0
AAV.100176_9/ORF/62-1996/1935/+_10038	NC_002077.1	AS:i:-48
AAV.100176_9/ORF/62-1996/1935/+_10039	ENA|AF028704|AF028704.1	AS:i:0
AAV.100176_9/ORF/62-1996/1935/+_10039	NC_002077.1	AS:i:-42
AAV.100176_9/ORF/62-1996/1935/+_10040	ENA|AF028704|AF028704.1	AS:i:0
AAV.100176_9/ORF/62-1996/1935/+_10040	NC_002077.1	AS:i:-30
AAV.100176_9/ORF/62-1996/1935/+_10041	ENA|AF028704|AF028704.1	AS:i:0
AAV.100176_9/ORF/62-1996/1935/+_10041	NC_002077.1	AS:i:-24
AAV.100176_9/ORF/62-1996/1935/+_10042	ENA|AF028704|AF028704.1	AS:i:0
AAV.100176_9/ORF/62-1996/1935/+_10042	NC_002077.1	AS:i:-24
AAV.100176_9/ORF/62-1996/1935/+_10043	ENA|AF028704|AF028704.1	AS:i:-6
AAV.100176_9/ORF/62-1996/1935/+_10043	NC_002077.1	AS:i:-36
AAV.100176_9/ORF/62-1996/1935/+_10044	ENA|AF028704|AF028704.1	AS:i:-54
AAV.100176_9/ORF/62-1996/1935/+_10044	NC_002077.1	AS:i:-78
AAV.100176_9/ORF/62-1996/1935/+_10045	ENA|AF028704|AF028704.1	AS:i:-102
AAV.100176_9/ORF/62-1996/1935/+_10045	NC_002077.1	AS:i:-120
AAV.100176_9/ORF/62-1996/1935/+_10047	EU285562.1	AS:i:-87
AAV.100176_9/ORF/62-1996/1935/+_10048	EU285562.1	AS:i:-51
AAV.100176_9/ORF/62-1996/1935/+_10065	EU285562.1	AS:i:0
