AAV.100176_9/ORF/62-1996/1935/+_10001	NC_001401.2	AS:i:-12
AAV.100176_9/ORF/62-1996/1935/+_10017	AY242997.1	AS:i:-60
AAV.100176_9/ORF/62-1996/1935/+_10017	ENA|AF513851|AF513851.1	AS:i:-72
AAV.100176_9/ORF/62-1996/1935/+_10018	ENA|AF028704|AF028704.1	AS:i:0
AAV.100176_9/ORF/62-1996/1935/+_10018	NC_002077.1	AS:i:-24
AAV.100176_9/ORF/62-1996/1935/+_10019	ENA|AF028704|AF028704.1	AS:i:0
AAV.100176_9/ORF/62-1996/1935/+_10019	NC_002077.1	AS:i:-24
AAV.100176_9/ORF/62-1996/1935/+_10020	ENA|AF028704|AF028704.1	AS:i:-42
AAV.100176_9/ORF/62-1996/1935/+_10020	NC_002077.1	AS:i:-60
AAV.100176_9/ORF/62-1996/1935/+_10021	EU285562.1	AS:i:-63
AAV.100176_9/ORF/62-1996/1935/+_10022	EU285562.1	AS:i:0
AAV.100176_9/ORF/62-1996/1935/+_10023	EU285562.1	AS:i:0
AAV.100176_9/ORF/62-1996/1935/+_10024	EU285562.1	AS:i:0
AAV.100176_9/ORF/62-1996/1935/+_10025	EU285562.1	AS:i:0
AAV.100176_9/ORF/62-1996/1935/+_10026	EU285562.1	AS:i:-8
AAV.100176_9/ORF/62-1996/1935/+_10027	EU285562.1	AS:i:-8
AAV.100176_9/ORF/62-1996/1935/+_10028	EU285562.1	AS:i:0
